fecha,marca,local,canal,id_orden,estado_orden,subtotal,impuesto,descuento
2023-11-02 15:26:59,Umbrella SH,EMEA - SP - MAD - Salamanca,glovo,MY7YF3PD,Entregado,"21,4",0,0
2023-11-02 15:21:19,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,M5G1CWWS,Entregado,"12,7",0,0
2023-11-02 15:16:34,Umbrella SH,EMEA - SP - MAD - Salamanca,glovo,MDS18NPM,Entregado,"14,3",0,0
2023-11-02 15:15:52,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,50289,Entregado,"31,8",0,"-13,9"
2023-11-02 15:15:41,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,ubereats,95819,Nuevo,"51,4",0,0
2023-11-02 15:13:13,Umbrella SH,Umbrella SH - San Vicent del Raspeig,gloria-foods,777340110,Entregado,"15,7",0,0
2023-11-02 15:12:30,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AXNXVXSK,Entregado,"14,6",0,0
2023-11-02 15:10:56,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,79BBE,Entregado,"13,5",0,0
2023-11-02 15:09:09,Tepuy Burger,Tepuy Burger - Calle Bazan,glovo,AZZPA81A,Entregado,"25,4",0,0
2023-11-02 15:09:01,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,E6BAF,Entregado,"34,4",0,"-13,9"
2023-11-02 14:54:19,Umbrella SH,Tepuy Burger - Benidorm,ubereats,95DE5,Entregado,"15,5",0,0
2023-11-02 14:54:00,Tepuy Basics,EMEA - SP - MAD - Salamanca,glovo,MZJWZHT1,Entregado,"11,9",0,0
2023-11-02 14:49:07,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,4FD29,Entregado,"14,1",0,0
2023-11-02 14:47:55,Umbrella SH,Umbrella SH - Calle Linares,ubereats,BCF89,Nuevo,"28,3",0,0
2023-11-02 14:47:40,Umbrella SH,Goleta,ubereats,49FA8,Nuevo,"12,3",0,0
2023-11-02 14:44:34,Umbrella SH,Umbrella SH - Calle Linares,ubereats,79481,Nuevo,"24,2",0,0
2023-11-02 14:39:25,Umbrella SH,Goleta,ubereats,1FB6E,Nuevo,"17,2",0,0
2023-11-02 14:39:04,Umbrella SH,Umbrella SH - Calle Linares,ubereats,B2754,Nuevo,"28,8",0,0
2023-11-02 14:35:43,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,A1GDRSM8,Entregado,"41,5",0,0
2023-11-02 14:33:19,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,05FA2,Entregado,43,0,"-13,9"
2023-11-02 14:27:28,Umbrella SH,Umbrella SH - Calle Linares,ubereats,71C87,Nuevo,"39,8",0,"-13,9"
2023-11-02 14:26:52,Tepuy Burger,Tepuy Burger - Benidorm,glovo,BT4L98U1,Entregado,"16,4",0,0
2023-11-02 14:18:25,Tepuy Basics,Umbrella SH - San Vicent del Raspeig,ubereats,55DA6,Entregado,"15,1",0,0
2023-11-02 14:12:06,Umbrella SH,Umbrella SH - San Vicent del Raspeig,gloria-foods,777572480,Entregado,"18,3",0,0
2023-11-02 14:06:20,Tepuy Basics,Umbrella SH - San Vicent del Raspeig,glovo,AMMM5G3N,Entregado,"13,4",0,0
2023-11-02 14:06:03,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,8F066,Entregado,"39,8",0,"-13,9"
2023-11-02 14:05:12,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,59546,Entregado,"44,2",0,"-13,9"
2023-11-02 13:58:13,Umbrella SH,Umbrella SH - Calle Linares,ubereats,39605,Entregado,"25,4",0,"-11,9"
2023-11-02 13:50:55,Tepuy Burger,Tepuy Burger - Rodolfo Salazar,glovo,AYW2RC2L,Entregado,"17,6",0,0
2023-11-02 13:48:28,Tepuy Burger,Tepuy Burger - Benidorm,glovo,B2LFGJZY,Entregado,"12,4",0,0
2023-11-02 13:46:55,Umbrella SH,Umbrella SH - San Vicent del Raspeig,gloria-foods,777566950,Entregado,31,0,0
2023-11-02 13:42:04,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MCTLEY1J,Entregado,23,0,0
2023-11-02 13:39:49,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,4B0A6,Entregado,"38,6",0,"-13,9"
2023-11-02 13:17:23,Umbrella SH,EMEA - SP - MAD - Salamanca,glovo,MPHJ9STU,Entregado,"12,7",0,0
2023-11-02 13:13:12,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,30DCF,Entregado,"17,4",0,0
2023-11-02 13:11:37,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,D5152,Entregado,"34,8",0,"-13,9"
2023-11-02 13:04:37,Umbrella SH,EMEA - SP - MAD - Tetuan,glovo,MFRPEYDA,Entregado,"22,2",0,0
2023-11-01 23:23:43,Umbrella SH,Goleta,ubereats,D0D70,Entregado,"39,8",0,"-13,9"
2023-11-01 23:17:51,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,02B74,Entregado,"35,6",0,"-13,9"
2023-11-01 23:11:03,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,3F965,Entregado,"31,8",0,"-13,9"
2023-11-01 22:59:20,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,CC0DE,Entregado,"31,6",0,"-13,9"
2023-11-01 22:52:37,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,17B91,Entregado,"27,3",0,0
2023-11-01 22:51:02,Umbrella SH,Umbrella SH - Calle Linares,ubereats,1FFE2,Entregado,"15,5",0,0
2023-11-01 22:46:02,Umbrella SH,EMEA - SP - MAD - Salamanca,glovo,MQJLD8KW,Entregado,"12,2",0,0
2023-11-01 22:45:49,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,C7815,Entregado,"31,8",0,"-13,9"
2023-11-01 22:42:50,Tepuy Burger,Tepuy Burger - Benidorm,ubereats,7EB12,Entregado,"33,6",0,0
2023-11-01 22:42:16,Umbrella SH,Umbrella SH - San Vicent del Raspeig,gloria-foods,777366869,Entregado,"29,4",0,0
2023-11-01 22:41:55,Tepuy Burger,Tepuy Burger - Calle Bazan,glovo,AGRWGP1C,Entregado,"16,7",0,0
2023-11-01 22:35:18,Umbrella SH,Umbrella SH - Calle Linares,ubereats,86A9B,Nuevo,"31,8",0,"-13,9"
2023-11-01 22:34:20,Umbrella SH,Goleta,ubereats,5638C,Entregado,"33,9",0,"-13,9"
2023-11-01 22:32:16,Umbrella SH,EMEA - SP - MAD - Salamanca,ubereats,B0619,Entregado,"31,8",0,"-13,9"
2023-11-01 22:30:18,Umbrella SH,Goleta,ubereats,2F4D5,Nuevo,"31,8",0,"-13,9"
2023-11-01 22:28:18,Umbrella SH,EMEA - SP - MAD - Tetuan,ubereats,1790B,Entregado,"38,6",0,"-13,9"
2023-11-01 22:27:54,Umbrella SH,Goleta,ubereats,1013E,Entregado,"31,8",0,"-13,9"
2023-11-01 22:26:03,Umbrella SH,Umbrella SH - Calle Linares,ubereats,8644A,Nuevo,"31,6",0,"-13,9"
2023-11-01 22:22:18,Umbrella SH,Umbrella SH - San Vicent del Raspeig,ubereats,91CE1,Entregado,"31,4",0,"-18,9"
2023-11-01 22:22:08,Umbrella SH,Tepuy Burger - Benidorm,glovo,BAHLUCTK,Entregado,"22,1",0,0
